id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,32,modelo,Modelo,seleccion,1,"['Microondas'"""," '""Eléctrico'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,33,modelo,Modelo,seleccion,1,"['Doble'"""," '""Sencillo'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,33,tipo_fuente,Tipo de fuente,seleccion,2,"['Eléctrico'"""," '""Manual'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,33,tipo,Tipo,seleccion,3,"['Enchufe y Pilas'"""," '""Pilas'"""," '""No pilas'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,33,niveles_succion,Niveles de succión,seleccion,4,"['Con Niveles de succión'"""," '""Niveles y Tipo de succión'"""," '""Sin Niveles de succión'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,34,modelo,Modelo,seleccion,1,"['Eléctrico'"""," '""Manual'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,34,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Diferentes funciones'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,35,modelo,Modelo,seleccion,1,"['Baberos'"""," '""Vasos'"""," '""Platos'"""," '""Cubiertos'"""," '""Portavaso'"""," '""Desechables'"""," '""Red papillas'"""," '""Mordederas'"""," '""Para papillas'"""," '""Escurridor de biberones'"""," '""Chupones'"""," '""Clip Chupones'"""," '""Biberon'"""," '""Cepillos'"""," '""Accesorios de extractor'"""," '""Recolector'"""," '""Termo'"""," '""Mantel'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,36,talla,Talla,seleccion,1,"['0-3 meses'"""," '""6 meses'"""," '""9 meses'"""," '""12 meses'"""," '""18 meses'"""," '""2 años'"""," '""3 años'"""," '""4 años'"""," '""5 años'"""," '""6 años'"""," '""7 años'"""," '""8 años'"""," '""9 años'""]"""," '""10 años'"""," '""11 años'"""," '""Xs'"""," '""S'"""," '""M'"""," '""L'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,36,modelo,Modelo,seleccion,2,"['Abrigo'"""," '""Bata'"""," '""Bata de baño'"""," '""Comando Grueso'"""," '""Comando ligero'"""," '""Conjunto corto'"""," '""Conjunto largo'"""," '""Costalito'"""," '""Gabardina'"""," '""Impermeable'"""," '""Mameluco'"""," '""Overall'"""," '""Pants completo'"""," '""Pañalero exterior'"""," '""Pañalero interior'"""," '""Pijama corta'"""," '""Pijama larga'"""," '""Traje Baño Completo'"""," '""Vestido niña'"""," '""Vestido bebé'"""," '""Vestido de fiesta'"""," '""Disfraces'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,37,talla,Talla,seleccion,1,"['0-3 meses'"""," '""6 meses'"""," '""9 meses'"""," '""12 meses'"""," '""18 meses'"""," '""2 años'"""," '""3 años'"""," '""4 años'"""," '""5 años'"""," '""6 años'"""," '""7 años'"""," '""8 años'"""," '""9 años'""]"""," '""10 años'"""," '""11 años'"""," '""Xs'"""," '""S'"""," '""M'"""," '""L'""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,37,modelo,Modelo,seleccion,2,"['Blusa Mcorta'"""," '""Blusa Mlarga'"""," '""Chaleco Grueso'"""," '""Chaleco ligero'"""," '""Cham.ligera/Romp.'"""," '""Chamarra Gruesa'"""," '""Chamarra mezclilla'"""," '""Gorro/Sombrero'"""," '""Guantes'"""," '""Moños y diademas'"""," '""Playera M corta'"""," '""Playera M larga'"""," '""Polos M larga'"""," '""Polos Mcorta'"""," '""Sudadera'"""," '""Suéter'"""," '""Torero'""]""",34:23.6,34:23.6,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
